"location","area","unit","bedrooms","bathrooms_w_cs","floor_area","no_of_floors","car_parking_spaces","availability","price","district"
"maharagama",10,"perches","4",4,2800,NA,"None","Available now",51,"Colombo"
"kottawa",13,"perches","5",3,2800,NA,"None","Available now",19,"Colombo"
"nugegoda",6,"perches","4",2,2500,NA,"None","Available now",24,"Colombo"
"malabe",11,"perches","3",2,2200,NA,"None","Available now",17.5,"Colombo"
"ethul kotte",11.57,"perches","5",3,2100,NA,"2","Available now",58.5,"Colombo"
"nugegoda",10,"perches","4",3,2500,NA,"None","Available now",23,"Colombo"
"homagama",6.5,"perches","3",NA,1300,NA,"None","Available now",11,"Colombo"
"pannipitiya",25,"perches","5",4,3800,NA,"None","Available now",35,"Colombo"
"kottawa",NA,NA,"4",3,NA,NA,"None","Available now",16.5,"Colombo"
"kottawa",12,"perches","3",2,3200,NA,"None","Available now",23,"Colombo"
"thalawathugoda",10,"perches","3",2,1700,NA,"None","Available now",23,"Colombo"
"pelawatte",7.7,"perches","4",3,3200,NA,"None","Available now",43,"Colombo"
"kottawa",14.5,"perches","4",4,4500,NA,"None","Available now",36,"Colombo"
"dehiwala",6.5,"perches","4",2,3200,NA,"None","Available now",36,"Colombo"
"meegoda",25,"perches","above 5",2,2900,NA,"None","Available now",14.8,"Colombo"
"homagama",15,"perches","3",2,1400,NA,"None","Available now",7.8,"Colombo"
"homagama",10,"perches","3",3,1300,NA,"None","Available now",12.5,"Colombo"
"dehiwala",21,"perches","4",4,2,NA,"None","Available now",75,"Colombo"
"colombo 6",NA,NA,"above 5",7,6000,NA,"None","Available now",220,"Colombo"
"dehiwala",12,"perches","above 5",7,4800,2,"None","Price Reduced!",69,"Colombo"
"mount lavinia",NA,NA,"3",2,1200,NA,"None","Available now",19.8,"Colombo"
"akurana",NA,NA,"4",2,1600,NA,"None","Available now",19.5,"Kandy"
"gothatuwa",NA,NA,"3",2,1200,NA,"None","Available now",NA,"Colombo"
"malabe",19.6,"perches","4",4,5950,2,"2","Available now",98,"Colombo"
"moratuwa",6,"perches","5",4,2200,2,"2","For Urgent Sale",12.5,"Colombo"
"panadura",NA,NA,"4",2,260022,2,"6","For Urgent Sale",32,"Kalutara"
"panadura",21,"perches","4",2,2300,2,"6","For Urgent Sale",17.8,"Kalutara"
"boralesgamuwa",24.5,"perches","above 5",3,4500,2,"2","For Urgent Sale",57,"Colombo"
"panadura",20,"perches","4",4,3000,2,"6","For Urgent Sale",22.5,"Kalutara"
"kalutara",11.75,"perches","5",4,3800,3,"1","For Urgent Sale",36,"Kalutara"
"panadura",10.8,"perches","3",2,1650,1,"2","Available now",16.8,"Kalutara"
"rathmalana",6,"perches","5",4,2200,2,"1","For Urgent Sale",12.5,"Colombo"
"boralesgamuwa",15,"perches","above 5",3,3060,2,"3","For Urgent Sale",38.5,"Colombo"
"pita kotte",15,"perches","above 5",6,5800,3,"2","For Urgent Sale",145,"Colombo"
"kegalle",253,"perches","5",3,3500,NA,"None","Available now",50,"Kegalle"
"pita kotte",11.7,"perches","above 5",3,3912,NA,"None","Available now",66,"Colombo"
